iter	RMSE
0	14.9807385
1	14.02034069
2	13.09727333
3	12.29939284
4	11.53584766
5	10.79787915
6	10.14939652
7	9.483873552
8	8.939804311
9	8.38463235
10	7.88660238
11	7.389172644
12	6.976303025
13	6.562471954
14	6.181405261
15	5.860069809
16	5.551378496
17	5.261051174
18	4.979657748
19	4.710160181
20	4.459963405
21	4.226111768
22	4.009414324
23	3.797699384
24	3.624098806
25	3.444712193
26	3.288386447
27	3.143489863
28	3.008067828
29	2.88215983
30	2.779722884
31	2.67052424
32	2.58251666
33	2.492247661
34	2.406713607
35	2.332622096
36	2.267206713
37	2.210784143
38	2.152318288
39	2.095776826
40	2.045945419
41	1.995109772
42	1.949702836
43	1.910664487
44	1.871794432
45	1.831137283
46	1.800346072
47	1.770904057
48	1.745773891
49	1.719912272
50	1.692342462
51	1.672228165
52	1.652950773
53	1.635868059
54	1.618206049
55	1.605075318
56	1.584940124
57	1.568651979
58	1.553419871
59	1.540191049
60	1.525649676
61	1.521479626
62	1.50888023
63	1.501500887
64	1.492374641
65	1.480985572
66	1.470336217
67	1.459804127
68	1.455625551
69	1.448433795
70	1.44133992
71	1.437093136
72	1.426262321
73	1.41659019
74	1.411940775
75	1.402873049
76	1.400548267
77	1.395387955
78	1.391454825
79	1.381856578
80	1.373353814
81	1.365343621
82	1.358804844
83	1.352303002
84	1.347790018
85	1.339268136
86	1.335113795
87	1.328464076
88	1.326836096
89	1.322091368
90	1.317537322
91	1.312011822
92	1.307210236
93	1.304988078
94	1.30008554
95	1.292928651
96	1.287045854
97	1.278867925
98	1.271000772
99	1.2667909
100	1.261222804
101	1.256207653
102	1.25142524
103	1.245804009
104	1.241381458
105	1.23763613
106	1.234024528
107	1.230713054
108	1.226089217
109	1.222984692
110	1.219918439
111	1.213411502
112	1.210335814
113	1.208723918
114	1.205378787
115	1.199410915
116	1.197436924
117	1.195818176
118	1.194756698
119	1.192238762
120	1.186756255
121	1.184015355
122	1.181641093
123	1.177698426
124	1.174827228
125	1.171020764
126	1.170065264
127	1.163836116
128	1.162915428
129	1.162179249
130	1.161509811
131	1.159527832
132	1.157483176
133	1.156785992
134	1.155196602
135	1.154064383
136	1.152127757
137	1.151484976
138	1.15045
139	1.149459274
140	1.148116069
141	1.145377498
142	1.144436845
143	1.14388647
144	1.141936372
145	1.139553748
146	1.138415423
147	1.133588449
148	1.132329307
149	1.130237125
150	1.129071806
151	1.126065775
152	1.125218997
153	1.121751665
154	1.120958279
155	1.120154943
156	1.11761996
157	1.115882194
158	1.113959663
159	1.1122939
160	1.111526772
161	1.106811266
162	1.105789478
163	1.104142163
164	1.103186302
165	1.100423291
166	1.099309433
167	1.09780241
168	1.094498498
169	1.093894993
170	1.092418243
171	1.088336263
172	1.087427298
173	1.086817637
174	1.085766859
175	1.083700942
176	1.082852208
177	1.082264538
178	1.081074044
179	1.079616028
180	1.078083988
181	1.075897745
182	1.074962738
183	1.073972837
184	1.069228294
185	1.064464185
186	1.063580205
187	1.06212904
188	1.060968411
189	1.060162003
190	1.057875342
191	1.056491228
192	1.054305337
193	1.052401387
194	1.051056896
195	1.049380363
196	1.047397771
197	1.045291104
198	1.044525407
199	1.042814899
200	1.04172238
201	1.038934673
202	1.038016777
203	1.034349458
204	1.033134355
205	1.03123378
206	1.030707248
207	1.025458139
208	1.022906755
209	1.020750809
210	1.020019267
211	1.018825337
212	1.017616911
213	1.015403724
214	1.014344659
215	1.013560487
216	1.012665639
217	1.01097983
218	1.010233644
219	1.007792064
220	1.0059856
221	1.004435027
222	1.003202946
223	1.002622884
224	1.001145383
225	0.9991304476
226	0.9977665661
227	0.9958248229
228	0.9933972653
229	0.9926988375
230	0.9923161571
231	0.990947292
232	0.9897772557
233	0.9876136924
234	0.9861004149
235	0.9856156011
236	0.984940793
237	0.9822022438
238	0.9785990787
239	0.9778187983
240	0.9771754109
241	0.9753560919
242	0.9742471903
243	0.971861922
244	0.9711430489
245	0.9699764777
246	0.9682606753
247	0.9667366081
248	0.9656193629
249	0.9648231819
250	0.9636197945
251	0.9626600145
252	0.9615500581
253	0.9604821112
254	0.9594494286
255	0.9589871088
256	0.9581273721
257	0.9572783561
258	0.9557442433
259	0.9548316172
260	0.9533915017
261	0.9525197665
262	0.9520182057
263	0.9510878251
264	0.9496045885
265	0.9484115543
266	0.9478182319
267	0.947249724
268	0.9463009921
269	0.9454231504
270	0.9442387644
271	0.9429584162
272	0.9425303563
273	0.9387759201
274	0.9371438924
275	0.9360073634
276	0.9354113963
277	0.9345751662
278	0.9335197239
279	0.9300681565
280	0.9288458113
281	0.9283108909
282	0.9263570167
283	0.9253250767
284	0.9246143243
285	0.9236891709
286	0.9227177893
287	0.9197804473
288	0.9193399229
289	0.9187861221
290	0.9178962493
291	0.9152968402
292	0.9145139483
293	0.9139743007
294	0.9083773972
295	0.9068007028
296	0.9062125574
297	0.9055716577
298	0.9042308716
299	0.9032914266
300	0.9026784863
301	0.898675628
302	0.8982777015
303	0.8974203365
304	0.8934737432
305	0.8921718102
306	0.8906636078
307	0.8894123714
308	0.8883233378
309	0.8874024465
310	0.8864144653
311	0.8851785323
312	0.884149248
313	0.8822060355
314	0.8813652527
315	0.8809807001
316	0.8802695362
317	0.877971352
318	0.8772430104
319	0.8762253256
320	0.8753832027
321	0.873661471
322	0.8720704209
323	0.8709040392
324	0.870004361
325	0.8692067444
326	0.8687583192
327	0.8680709938
328	0.8674173402
329	0.8665133303
330	0.8659031292
331	0.8643225179
332	0.8633442278
333	0.8627648635
334	0.8596113184
335	0.858835994
336	0.8575539124
337	0.8570469914
338	0.8556297292
339	0.8529453397
340	0.8495956702
341	0.8492186831
342	0.8459896142
343	0.8442654224
344	0.8429944599
345	0.841731711
346	0.8412061954
347	0.8407853629
348	0.8402153745
349	0.83899136
350	0.8381628342
351	0.8371200446
352	0.8347326014
353	0.8332413412
354	0.8326786216
355	0.8286375066
356	0.827193134
357	0.8263845089
358	0.8259083669
359	0.8254984311
360	0.8246910087
361	0.8239269878
362	0.8230808947
363	0.8226019875
364	0.8217288318
365	0.8210812076
366	0.8205778279
367	0.8195861245
368	0.818963478
369	0.8183831332
370	0.8176920569
371	0.8148820577
372	0.8140998107
373	0.8127585814
374	0.8117873457
375	0.8110909487
376	0.8106290391
377	0.8101344365
378	0.8093369547
379	0.8089476367
380	0.8085055238
381	0.804874605
382	0.8040732234
383	0.8030770933
384	0.8023108139
385	0.8015413974
386	0.8008297656
387	0.8004173373
388	0.7999514585
389	0.7976551704
390	0.7972343302
391	0.7964671949
392	0.7960238358
393	0.7955957238
394	0.7944566326
395	0.7933575168
396	0.790781239
397	0.7901443652
398	0.7886221529
399	0.7867966063
400	0.7857510122
401	0.785235022
402	0.7844039178
403	0.7836605765
404	0.782734815
405	0.7820076598
406	0.7816070785
407	0.7808881543
408	0.7802673696
409	0.7794908266
410	0.7788449524
411	0.7780455682
412	0.777205438
413	0.7765279823
414	0.7755347459
415	0.7751612361
416	0.7730168916
417	0.7724196238
418	0.7714666929
419	0.7710418429
420	0.7702931579
421	0.769761739
422	0.7684778965
423	0.7657849651
424	0.7651953707
425	0.7645265335
426	0.7604997917
427	0.7600990227
428	0.759385489
429	0.7591470763
430	0.758336019
431	0.7579080143
432	0.7576822816
433	0.7569469734
434	0.7563219876
435	0.755642607
436	0.7544645949
437	0.7525183105
438	0.7521535523
439	0.7516426332
440	0.7488600845
441	0.7484548693
442	0.7480111941
443	0.7455186081
444	0.7448924203
445	0.7445526259
446	0.74367386
447	0.7413529791
448	0.7408746402
449	0.7404714873
450	0.7392702559
451	0.7389438025
452	0.7381444444
453	0.7377431096
454	0.7375293744
455	0.7369865767
456	0.7351180529
457	0.7345479749
458	0.7329559762
459	0.7324414924
460	0.7317076262
461	0.7312079162
462	0.7309011372
463	0.7301796822
464	0.7289290486
465	0.7285406385
466	0.7278668464
467	0.7261011948
468	0.7249941551
469	0.724151065
470	0.7230972855
