iter	Passed	Remaining
0	21	12834
1	34	10455
2	48	9680
3	62	9299
4	76	9141
5	90	9006
6	105	8901
7	122	9047
8	125	8262
9	150	8893
10	164	8832
11	179	8771
12	192	8711
13	209	8785
14	224	8743
15	239	8733
16	244	8394
17	260	8435
18	278	8527
19	293	8518
20	314	8671
21	329	8652
22	345	8671
23	361	8684
24	378	8715
25	411	9077
26	427	9065
27	447	9146
28	467	9203
29	482	9161
30	498	9154
31	511	9080
32	524	9007
33	538	8966
34	550	8893
35	564	8841
36	578	8808
37	606	8969
38	730	10505
39	797	11158
40	831	11330
41	859	11413
42	871	11285
43	883	11158
44	895	11046
45	910	10963
46	928	10920
47	941	10827
48	954	10737
49	968	10657
50	982	10577
51	995	10491
52	1009	10416
53	1021	10328
54	1033	10242
55	1046	10164
56	1065	10147
57	1079	10086
58	1094	10033
59	1108	9972
60	1121	9913
61	1136	9858
62	1149	9796
63	1163	9742
64	1180	9719
65	1200	9712
66	1215	9673
67	1230	9625
68	1244	9576
69	1258	9530
70	1271	9476
71	1277	9370
72	1292	9331
73	1305	9280
74	1320	9241
75	1335	9207
76	1350	9172
77	1363	9122
78	1377	9085
79	1393	9054
80	1401	8978
81	1416	8945
82	1437	8955
83	1457	8953
84	1474	8931
85	1491	8913
86	1504	8873
87	1521	8852
88	1539	8840
89	1554	8810
90	1571	8789
91	1582	8738
92	1595	8699
93	1609	8662
94	1622	8623
95	1638	8601
96	1646	8539
97	1660	8508
98	1675	8477
99	1698	8491
100	1718	8492
101	1739	8492
102	1758	8485
103	1778	8480
104	1794	8459
105	1812	8444
106	1827	8418
107	1844	8401
108	1860	8381
109	1876	8357
110	1891	8333
111	1928	8401
112	1945	8384
113	1963	8371
114	1980	8351
115	1996	8329
116	2011	8302
117	2034	8311
118	2058	8321
119	2079	8317
120	2099	8311
121	2115	8290
122	2133	8274
123	2150	8255
124	2169	8245
125	2188	8233
126	2217	8260
127	2238	8256
128	2259	8250
129	2277	8232
130	2293	8210
131	2316	8211
132	2333	8192
133	2353	8185
134	2374	8178
135	2393	8167
136	2410	8146
137	2432	8142
138	2458	8153
139	2489	8178
140	2506	8159
141	2526	8150
142	2543	8129
143	2561	8111
144	2580	8095
145	2597	8077
146	2618	8068
147	2637	8054
148	2658	8047
149	2675	8026
150	2694	8012
151	2711	7991
152	2735	7992
153	2756	7981
154	2778	7978
155	2800	7971
156	2817	7948
157	2833	7927
158	2850	7905
159	2868	7888
160	2880	7854
161	2893	7823
162	2907	7795
163	2925	7777
164	2939	7749
165	2953	7721
166	2966	7692
167	2980	7664
168	2994	7636
169	3008	7609
170	3021	7580
171	3035	7553
172	3049	7525
173	3065	7503
174	3080	7481
175	3092	7450
176	3107	7425
177	3119	7395
178	3132	7367
179	3146	7340
180	3158	7312
181	3172	7286
182	3186	7261
183	3202	7239
184	3215	7213
185	3228	7185
186	3243	7162
187	3259	7142
188	3275	7122
189	3293	7108
190	3309	7086
191	3323	7062
192	3337	7037
193	3352	7016
194	3366	6992
195	3379	6966
196	3393	6942
197	3407	6918
198	3421	6894
199	3437	6874
200	3450	6850
201	3463	6824
202	3480	6807
203	3506	6806
204	3518	6779
205	3531	6753
206	3544	6729
207	3558	6706
208	3572	6683
209	3585	6659
210	3599	6635
211	3613	6613
212	3627	6590
213	3644	6572
214	3656	6546
215	3671	6527
216	3682	6500
217	3696	6476
218	3709	6453
219	3723	6431
220	3737	6408
221	3750	6386
222	3764	6363
223	3783	6350
224	3796	6328
225	3811	6307
226	3825	6285
227	3838	6262
228	3852	6241
229	3865	6218
230	3879	6196
231	3895	6178
232	3912	6162
233	3933	6152
234	3947	6131
235	3961	6110
236	3975	6089
237	3989	6067
238	4003	6047
239	4028	6042
240	4046	6027
241	4063	6011
242	4078	5991
243	4092	5970
244	4105	5949
245	4120	5929
246	4134	5908
247	4148	5887
248	4162	5867
249	4177	5848
250	4195	5832
251	4211	5816
252	4226	5796
253	4238	5774
254	4252	5753
255	4269	5737
256	4281	5714
257	4299	5698
258	4313	5678
259	4332	5665
260	4346	5645
261	4360	5625
262	4376	5607
263	4389	5587
264	4411	5576
265	4424	5555
266	4438	5535
267	4456	5520
268	4470	5500
269	4484	5480
270	4498	5461
271	4526	5457
272	4540	5438
273	4553	5418
274	4566	5396
275	4580	5376
276	4592	5355
277	4606	5335
278	4619	5315
279	4633	5295
280	4644	5272
281	4657	5251
282	4674	5235
283	4686	5214
284	4698	5193
285	4712	5173
286	4726	5154
287	4739	5134
288	4753	5115
289	4766	5095
290	4779	5074
291	4793	5056
292	4814	5044
293	4832	5029
294	4849	5014
295	4863	4995
296	4877	4975
297	4890	4955
298	4903	4936
299	4916	4916
300	4929	4897
301	4943	4877
302	4960	4862
303	4973	4842
304	4986	4822
305	5000	4804
306	5013	4785
307	5027	4766
308	5039	4746
309	5054	4728
310	5068	4709
311	5081	4690
312	5099	4676
313	5114	4658
314	5128	4640
315	5141	4620
316	5154	4601
317	5165	4581
318	5182	4564
319	5197	4547
320	5212	4530
321	5226	4512
322	5242	4495
323	5257	4478
324	5271	4460
325	5285	4442
326	5298	4423
327	5312	4405
328	5333	4392
329	5347	4375
330	5368	4362
331	5383	4345
332	5396	4327
333	5410	4309
334	5424	4290
335	5438	4273
336	5451	4254
337	5470	4240
338	5484	4222
339	5497	4203
340	5514	4188
341	5532	4173
342	5553	4160
343	5568	4144
344	5581	4125
345	5594	4107
346	5611	4091
347	5628	4075
348	5642	4058
349	5657	4041
350	5670	4022
351	5685	4005
352	5699	3988
353	5712	3969
354	5726	3952
355	5739	3933
356	5752	3915
357	5766	3897
358	5779	3879
359	5797	3864
360	5810	3846
361	5821	3827
362	5834	3809
363	5851	3793
364	5866	3776
365	5884	3762
366	5896	3743
367	5908	3724
368	5924	3708
369	5936	3690
370	5949	3672
371	5962	3654
372	5975	3636
373	5989	3619
374	6002	3601
375	6015	3583
376	6028	3566
377	6043	3549
378	6057	3532
379	6072	3515
380	6086	3498
381	6099	3481
382	6113	3463
383	6126	3446
384	6139	3428
385	6154	3411
386	6167	3394
387	6181	3377
388	6196	3360
389	6210	3344
390	6223	3326
391	6236	3309
392	6249	3291
393	6263	3275
394	6277	3258
395	6299	3245
396	6317	3230
397	6331	3213
398	6346	3196
399	6359	3179
400	6378	3165
401	6392	3148
402	6409	3132
403	6423	3116
404	6435	3098
405	6448	3081
406	6462	3064
407	6476	3047
408	6493	3032
409	6507	3015
410	6523	2999
411	6538	2983
412	6551	2966
413	6565	2949
414	6585	2935
415	6601	2919
416	6614	2902
417	6631	2887
418	6646	2871
419	6660	2854
420	6675	2838
421	6688	2821
422	6701	2804
423	6716	2787
424	6729	2771
425	6742	2754
426	6755	2737
427	6768	2720
428	6783	2703
429	6798	2687
430	6812	2671
431	6826	2654
432	6840	2638
433	6853	2621
434	6867	2604
435	6881	2588
436	6916	2579
437	6938	2566
438	6952	2549
439	6968	2533
440	6983	2517
441	6997	2501
442	7010	2484
443	7025	2468
444	7038	2451
445	7052	2435
446	7066	2418
447	7080	2402
448	7096	2386
449	7107	2369
450	7121	2352
451	7135	2336
452	7149	2319
453	7162	2303
454	7176	2286
455	7189	2270
456	7202	2253
457	7215	2237
458	7231	2221
459	7247	2205
460	7261	2189
461	7273	2172
462	7286	2156
463	7299	2139
464	7312	2123
465	7325	2106
466	7339	2090
467	7353	2074
468	7366	2057
469	7382	2041
470	7396	2025
471	7409	2009
472	7426	1993
473	7443	1978
474	7461	1963
475	7474	1947
476	7491	1931
477	7508	1916
478	7524	1900
479	7537	1884
480	7551	1868
481	7565	1852
482	7579	1836
483	7595	1820
484	7615	1805
485	7628	1789
486	7641	1773
487	7658	1757
488	7673	1741
489	7687	1725
490	7702	1709
491	7716	1693
492	7729	1677
493	7742	1661
494	7756	1645
495	7770	1629
496	7784	1613
497	7800	1597
498	7815	1581
499	7833	1566
500	7848	1550
501	7866	1535
502	7880	1519
503	7893	1503
504	7907	1487
505	7921	1471
506	7937	1456
507	7950	1439
508	7962	1423
509	7981	1408
510	7996	1392
511	8011	1376
512	8024	1360
513	8038	1344
514	8051	1328
515	8066	1313
516	8079	1297
517	8099	1282
518	8112	1266
519	8126	1250
520	8140	1234
521	8153	1218
522	8167	1202
523	8180	1186
524	8194	1170
525	8207	1154
526	8221	1138
527	8240	1123
528	8252	1107
529	8264	1091
530	8276	1075
531	8290	1059
532	8304	1043
533	8318	1028
534	8331	1012
535	8344	996
536	8359	980
537	8375	965
538	8387	949
539	8401	933
540	8416	917
541	8431	902
542	8444	886
543	8457	870
544	8474	855
545	8494	840
546	8512	824
547	8525	808
548	8537	793
549	8551	777
550	8565	761
551	8578	745
552	8592	730
553	8605	714
554	8618	698
555	8639	683
556	8658	668
557	8670	652
558	8683	636
559	8696	621
560	8709	605
561	8722	589
562	8735	574
563	8749	558
564	8763	542
565	8777	527
566	8791	511
567	8806	496
568	8820	480
569	8833	464
570	8846	449
571	8860	433
572	8875	418
573	8890	402
574	8903	387
575	8915	371
576	8933	356
577	8947	340
578	8961	325
579	8975	309
580	8990	294
581	9008	278
582	9027	263
583	9040	247
584	9054	232
585	9067	216
586	9084	201
587	9098	185
588	9111	170
589	9125	154
590	9136	139
591	9149	123
592	9162	108
593	9175	92
594	9189	77
595	9204	61
596	9217	46
597	9234	30
598	9248	15
599	9262	0
